Mood Text,Sentiment Label,Yoga Recommendation
I feel so happy today!,POSITIVE,"Morning Stretch Flow, Sun Salutations"
Everything feels great and positive.,POSITIVE,"Happy Heart Flow, Energizing Yoga"
I am full of energy and enthusiasm!,POSITIVE,"Power Yoga, Dynamic Flow Yoga"
"What a beautiful day, I feel amazing!",POSITIVE,"Uplifting Yoga, Surya Namaskar Variations"
I feel so calm and peaceful today.,POSITIVE,"Relaxing Hatha Yoga, Gentle Morning Flow"
Life feels full of joy and love.,POSITIVE,"Heart-Opening Yoga, Compassion Flow"
I’m stressed and overwhelmed at work.,NEGATIVE,"Relaxation Yoga, Deep Breathing Exercise"
I feel anxious about tomorrow.,NEGATIVE,"Calming Yoga, Stress Relief Session"
Life feels overwhelming right now.,NEGATIVE,"Gentle Yoga for Mindfulness, Restorative Yoga"
I don’t feel like doing much today.,NEGATIVE,"Restful Yoga Poses, Breathing for Relaxation"
Today has been such a tough day.,NEGATIVE,"Yin Yoga for Emotional Balance, Grounding Flow"
My thoughts are all over the place.,NEGATIVE,"Focused Meditation, Gentle Yoga for Clarity"
It’s just another normal day.,NEUTRAL,"Beginner Yoga Routine, Balance Yoga Sequence"
"I feel okay, nothing special to report.",NEUTRAL,"Evening Stretch Yoga, Mild Yoga Flow"
I’m feeling steady and balanced.,NEUTRAL,"Simple Asanas for Stability, Gentle Hatha Yoga"
"Today feels like a calm, ordinary day.",NEUTRAL,"Evening Relaxation Flow, Gentle Stretching"
I feel neutral and indifferent.,NEUTRAL,"Restorative Poses, Mild Yoga for Flexibility"
"It’s been an average day, nothing major.",NEUTRAL,"Centering Yoga, Balancing Asanas"
I feel great and energized.,POSITIVE,"Energy-Boosting Flow, Active Vinyasa Sequence"
Everything is wonderful today!,POSITIVE,"Dynamic Yoga Flow, Sun Salutations with Twists"
I feel refreshed after a good night's sleep.,POSITIVE,"Energizing Flow, Morning Yoga for Vitality"
I feel blessed and grateful for everything.,POSITIVE,"Gratitude Yoga, Heart-Opening Flow"
I’m filled with positivity and motivation.,POSITIVE,"Motivational Yoga Sequence, Power Yoga"
I’m feeling relaxed and content.,POSITIVE,"Calm Morning Yoga, Gentle Flow for Happiness"
I feel like I can conquer the world today!,POSITIVE,"Warrior Flow, Strength and Flexibility Yoga"
I’m worried about upcoming challenges.,NEGATIVE,"Anxiety-Reducing Yoga, Calming Restorative Poses"
I feel exhausted from the day’s events.,NEGATIVE,"Sleepy Time Yoga, Yoga Nidra for Relaxation"
Today has been mentally draining.,NEGATIVE,"Emotional Recovery Yoga, Mindful Yin Practice"
I’m feeling down and disconnected.,NEGATIVE,"Connection Yoga, Gentle Flow for Loneliness"
My emotions feel heavy and hard to handle.,NEGATIVE,"Grounding Yoga, Yin Yoga for Emotional Release"
I feel neither happy nor sad.,NEUTRAL,"Balancing Yoga Routine, Neutral Energy Flow"
I’m in a reflective mood today.,NEUTRAL,"Meditation Yoga, Gentle Stretching Sequence"
"Nothing special happened, just an average day.",NEUTRAL,"Everyday Yoga Practice, Centering Flow"
I feel calm and steady but not excited.,NEUTRAL,"Stability Flow, Gentle Grounding Yoga"
I’m just going through the motions today.,NEUTRAL,"Routine Yoga Sequence, Light Stretching Flow"
"Life feels balanced, no ups or downs today.",NEUTRAL,"Balanced Yoga Poses, Harmonizing Flow"
I’m feeling like there’s peace within me.,POSITIVE,"Inner Peace Yoga, Heart Chakra Flow"
I’m overthinking things too much today.,NEGATIVE,"Mind-Calming Yoga, Focused Breathwork Flow"
I feel okay but slightly tired.,NEUTRAL,"Relaxed Hatha Yoga, Gentle Wind-Down Practice"
I woke up with a smile on my face today!,POSITIVE,"Morning Cheer Flow, Energizing Sun Salutations"
I feel grateful for the little things in life.,POSITIVE,"Gratitude and Joy Yoga, Heart-Opening Asanas"
I’m filled with excitement for today’s plans.,POSITIVE,"Power Flow, Uplifting Yoga for Enthusiasm"
I feel peaceful and centered.,POSITIVE,"Inner Harmony Yoga, Mindful Balance Flow"
Today feels like an opportunity to thrive.,POSITIVE,"Energy Boost Sequence, Warrior Empowerment Flow"
My mind feels cluttered and restless.,NEGATIVE,"Stress-Relief Yoga, Calming Breathing Exercises"
I’m feeling emotionally drained.,NEGATIVE,"Emotional Recovery Yin, Gentle Grounding Yoga"
I’m struggling to focus on anything.,NEGATIVE,"Focus Flow, Gentle Hatha Yoga for Clarity"
Today feels overwhelming with tasks.,NEGATIVE,"Grounding Flow, Slow Restorative Yoga"
I feel disconnected from my inner self.,NEGATIVE,"Mindfulness Meditation Yoga, Gentle Chakra Flow"
